Fecha,ID,Gradient Clip Val,Hidden Size,Dropout,Hidden Continuous Size,Attention Head Size,Learning Rate,Loss Function,Epochs,Val Loss,Test MAE,Test MAPE,Test RMSE,Training Time (s)
2024-10-26 03:29:23,1,0.05,16,0.4,32,8,0.03,MAPE,70,0.017548806965351105,121.7263584375,0.022424596701666768,166.18599183824125,1547.029271
2024-10-26 03:55:50,2,0.01,16,0.25,32,2,0.03,MAPE,70,0.019800789654254913,160.90223828124996,0.02971021728272952,197.84898653729456,1585.262668
2024-10-26 04:22:56,3,0.05,8,0.1,32,8,0.01,MAPE,70,0.03026898205280304,79.38633078124997,0.014483761024800477,105.13578810404726,1623.712578
2024-10-26 04:52:10,4,0.03,8,0.4,32,2,0.005,MAPE,70,0.02195332571864128,109.24725203124996,0.01993951489301258,133.47804845242337,1752.167643
2024-10-26 05:29:16,5,0.03,16,0.4,8,8,0.01,MAPE,70,0.03143051266670227,90.43761281249998,0.016611222750983402,121.16171116201758,2224.116467
2024-10-26 06:18:54,6,0.01,32,0.25,16,4,0.005,MAPE,70,0.019915269687771797,111.44009499999997,0.020210089573162865,130.2474510115697,2975.79404
2024-10-26 06:55:23,7,0.05,8,0.1,8,8,0.01,MAPE,70,0.019536113366484642,85.36932656249995,0.015526549201129189,110.18548571578592,2187.46136
2024-10-26 07:47:04,8,0.05,32,0.1,32,2,0.03,MAPE,70,0.027679352089762688,87.86537999999997,0.0161158504050908,116.29560168983444,3098.626127
2024-10-26 08:44:02,9,0.05,8,0.4,32,2,0.01,MAPE,70,0.01616569794714451,103.31137093749997,0.01896089005442401,130.2459062815725,3415.655584
2024-10-26 09:41:29,10,0.03,16,0.1,16,8,0.005,MAPE,70,0.03742183744907379,95.65129921874998,0.017500111498858096,119.55661144220518,3445.061027
2024-10-26 10:35:17,11,0.05,8,0.1,8,2,0.01,MAPE,70,0.023549452424049377,145.71025921874997,0.026670876044014025,190.20092139841765,3225.920304
2024-10-26 11:50:23,12,0.05,8,0.1,16,2,0.005,MAPE,70,0.021509358659386635,94.32049578124995,0.017169223482546875,117.4276234350685,4503.509899
2024-10-26 13:47:11,13,0.05,32,0.25,8,8,0.01,MAPE,70,0.021045543253421783,125.48873640624998,0.023063594784097915,147.45958015774423,7005.306452
2024-10-26 15:46:21,14,0.03,8,0.25,16,4,0.01,MAPE,70,0.048574674874544144,103.25885890624996,0.01894306726238778,134.05479590718167,7146.659049
2024-10-26 17:56:31,15,0.01,8,0.25,32,2,0.03,MAPE,70,0.0165412500500679,115.45264578124997,0.02090068472565932,137.73106320260894,7807.504232
