Fecha,ID,Gradient Clip Val,Hidden Size,Dropout,Hidden Continuous Size,Attention Head Size,Learning Rate,Loss Function,Epochs,Val Loss,Test MAE,Test MAPE,Test RMSE,Training Time (s)
2024-11-24 19:02:50,1,0.05,8,0.2,64,16,0.005,QuantileLoss,50,82.97335052490234,99.09658827897653,0.01854199402548437,116.26756845616704,1076.433357
2024-11-24 19:20:48,2,0.03,8,0.1,16,8,0.01,QuantileLoss,50,116.50407409667969,92.67662431620353,0.017381250135774885,108.08654496818488,1075.62883
2024-11-24 19:39:03,3,0.03,16,0.2,128,8,0.01,QuantileLoss,50,114.72017669677734,114.06883148892256,0.021373023418720164,130.21768687105873,1092.937549
2024-11-24 19:56:53,4,0.01,8,0.3,128,4,0.03,QuantileLoss,50,78.84882354736328,77.50549093091158,0.014676778539811757,91.54165103352025,1067.409831
2024-11-24 20:14:55,5,0.05,16,0.1,64,8,0.01,QuantileLoss,50,161.88995361328125,125.5957852858719,0.023563323366044463,138.26127076525583,1080.373718
2024-11-24 20:32:54,6,0.05,32,0.1,128,4,0.03,QuantileLoss,50,221.51397705078125,97.17262429219358,0.018230788149057296,113.02571108581607,1076.476756
2024-11-24 20:51:52,7,0.03,32,0.3,16,16,0.01,QuantileLoss,50,151.34056091308594,134.8877376404514,0.025225005894323364,155.0108575121132,1135.534032
2024-11-24 21:10:06,8,0.03,32,0.2,128,8,0.03,QuantileLoss,50,200.1361083984375,96.25114514241992,0.01809966686599906,109.84075841842747,1091.864781
2024-11-24 21:26:10,9,0.05,16,0.3,16,16,0.03,QuantileLoss,50,76.80819702148438,84.06329040214823,0.015948880794474932,101.48543670032895,962.099085
2024-11-24 21:44:44,10,0.03,32,0.1,64,8,0.005,QuantileLoss,50,92.20039367675781,99.27939908119676,0.018695608774359763,112.9693357086739,1111.806883
2024-11-24 22:03:08,11,0.03,8,0.2,128,16,0.01,QuantileLoss,50,59.907615661621094,98.95622852394557,0.018583143773129304,113.301632598115,1100.928867
2024-11-24 22:21:38,12,0.05,8,0.3,16,8,0.005,QuantileLoss,50,155.2772674560547,155.3878179720614,0.029074214002484493,173.1078373182743,1108.12233
2024-11-24 22:39:34,13,0.03,16,0.2,64,4,0.01,QuantileLoss,50,124.0268783569336,130.25946951480842,0.024473638241221733,144.91877634076937,1073.14552
2024-11-24 22:58:35,14,0.05,32,0.1,16,8,0.03,QuantileLoss,50,104.60424041748047,85.11156677445666,0.01626892225372238,116.93901249173106,1139.041855
2024-11-24 23:17:23,15,0.01,8,0.3,64,4,0.005,QuantileLoss,50,51.428367614746094,74.90383344027572,0.013970201024558364,93.82225825251192,1124.795339
2024-11-24 23:36:13,16,0.05,32,0.2,128,16,0.005,QuantileLoss,50,117.8960952758789,124.16680773244475,0.02322396308410259,138.64503627097565,1128.206992
2024-11-24 23:56:02,17,0.01,8,0.3,128,16,0.01,QuantileLoss,50,104.50077819824219,78.82257454101277,0.014731366551624898,95.84869151712276,1185.94565
2024-11-25 00:14:20,18,0.03,16,0.3,64,4,0.03,QuantileLoss,50,123.33338165283203,154.92888839063525,0.029061368126627695,171.22065401434824,1095.601155
2024-11-25 00:35:18,19,0.03,16,0.1,64,8,0.03,QuantileLoss,50,89.77112579345703,79.47691749115033,0.015157990060375657,98.07098289179636,1255.283888
2024-11-25 00:54:04,20,0.01,32,0.1,16,8,0.01,QuantileLoss,50,199.8611297607422,142.95859123828433,0.02680947951236081,161.1667675893307,1123.387071
2024-11-25 01:15:03,21,0.05,16,0.2,64,16,0.01,QuantileLoss,50,102.18988037109375,67.6877100671869,0.012790890492399629,84.38003835763371,1256.322273
2024-11-25 01:36:38,22,0.01,16,0.3,64,8,0.005,QuantileLoss,50,72.83972930908203,72.92726872132384,0.013703843740709504,87.23444590230476,1073.34574
2024-11-25 01:54:28,23,0.05,16,0.3,128,8,0.03,QuantileLoss,50,222.1833953857422,132.53451044444114,0.024883591672230896,153.56092229753435,1067.213462
2024-11-25 02:12:11,24,0.03,32,0.3,128,4,0.005,QuantileLoss,50,79.5411148071289,100.8581012712558,0.01883680720662803,117.39912217873736,1061.180317
2024-11-25 02:29:57,25,0.05,8,0.1,64,8,0.03,QuantileLoss,50,97.80382537841797,85.97422399322677,0.01613994116559111,106.39093244710095,1062.737074
2024-11-25 02:47:38,26,0.01,8,0.3,16,4,0.01,QuantileLoss,50,98.68937683105469,61.835706869459635,0.011786657391147655,81.73795222148503,1058.797791
2024-11-25 03:05:29,27,0.05,16,0.2,128,4,0.005,QuantileLoss,50,85.52168273925781,95.58016226588101,0.018013985276273514,105.61260556238507,1068.796449
2024-11-25 03:23:12,29,0.01,8,0.1,128,4,0.01,QuantileLoss,50,107.05929565429688,128.69391162741766,0.024081095904656614,151.56643142320263,1061.536359
2024-11-25 03:41:13,30,0.05,32,0.2,64,8,0.005,QuantileLoss,50,142.0786590576172,115.35421375937506,0.021593849154966194,131.46867121244668,1077.882767
2024-11-25 04:00:05,31,0.03,16,0.3,128,16,0.03,QuantileLoss,50,71.1174087524414,74.24568406380588,0.014007808744709017,89.97985433828572,1130.350423
2024-11-25 04:18:02,32,0.01,16,0.1,64,8,0.01,QuantileLoss,50,84.21912384033203,83.89437805024161,0.01572042155454037,101.80845087067063,1074.642118
2024-11-25 04:36:33,33,0.05,8,0.3,64,8,0.01,QuantileLoss,50,57.788448333740234,69.62142918990693,0.013069801128723085,83.11731840082744,1108.52125
2024-11-25 04:52:29,34,0.03,16,0.3,16,16,0.03,QuantileLoss,50,160.27479553222656,122.98415863736005,0.023006189471506688,141.25078054066316,953.335315
2024-11-25 05:11:01,35,0.01,32,0.1,128,4,0.01,QuantileLoss,50,117.51542663574219,80.6068870516148,0.015160626502262232,92.08882505744891,1109.745863
2024-11-25 05:29:41,36,0.03,32,0.2,16,4,0.01,QuantileLoss,50,176.9254913330078,136.74701241132865,0.025636244768491946,155.72257180177135,1117.386586
2024-11-25 05:47:36,37,0.05,16,0.2,64,4,0.03,QuantileLoss,50,153.5894775390625,78.29012685192639,0.014832053050593617,89.13096456613232,1073.347908
2024-11-25 06:06:46,38,0.03,8,0.3,128,8,0.005,QuantileLoss,50,66.15126037597656,80.80111227465598,0.01504467476978555,102.14663522916982,1147.329774
2024-11-25 06:25:02,39,0.01,8,0.1,128,8,0.005,QuantileLoss,50,138.15869140625,143.1491605124436,0.026743734461058356,163.444282564121,1092.809825
2024-11-25 06:42:35,40,0.03,16,0.2,16,16,0.01,QuantileLoss,50,115.41357421875,118.25707371740046,0.022145188080278353,132.53417824049586,1049.769465
2024-11-25 07:01:38,41,0.01,16,0.2,64,16,0.03,QuantileLoss,50,89.7094955444336,83.75466932772216,0.015751570840276306,99.2310436716357,1140.555908
2024-11-25 07:23:09,42,0.05,32,0.1,64,16,0.03,QuantileLoss,50,119.51451110839844,69.73597840212874,0.01333989594538753,94.06756304731815,1288.746281
2024-11-25 07:42:02,43,0.05,8,0.2,128,8,0.005,QuantileLoss,50,109.47050476074219,122.748720412381,0.02304765634533978,139.05046165030612,1130.484604
2024-11-25 08:03:36,44,0.01,8,0.1,16,8,0.03,QuantileLoss,50,120.42794036865234,81.93986494478293,0.015393256435571085,99.58107291567707,1290.425342
2024-11-25 08:21:43,45,0.01,8,0.3,128,4,0.01,QuantileLoss,50,60.45444869995117,75.5099110500225,0.014182654062796587,91.22007867411897,1085.096496
2024-11-25 14:01:21,46,0.03,16,0.3,128,16,0.005,QuantileLoss,25,126.55267333984375,154.58740426202604,0.028965403559538423,172.24788186681437,741.888088
2024-11-25 14:28:48,47,0.05,16,0.2,64,8,0.01,QuantileLoss,25,82.5467758178711,80.59996614336526,0.015128829086217578,96.74222391167105,566.71414
2024-11-25 14:38:18,48,0.03,32,0.2,64,8,0.03,QuantileLoss,25,60.97153854370117,102.85458381384043,0.019265923705136148,120.29808695968444,567.401894
2024-11-25 14:47:37,49,0.05,32,0.2,128,4,0.03,QuantileLoss,25,229.95777893066406,116.2870101614025,0.021981380244577263,135.36960455930685,555.73389
2024-11-25 14:56:59,50,0.05,8,0.1,64,16,0.01,QuantileLoss,25,26.071550369262695,69.01048172912489,0.012961926885279966,88.85751181522777,559.910779
2024-11-25 15:06:25,51,0.03,32,0.3,16,8,0.01,QuantileLoss,25,102.88424682617188,106.78917752335245,0.020036848778141495,120.13073636719129,564.514999
2024-11-25 15:16:04,52,0.01,16,0.2,64,16,0.01,QuantileLoss,25,73.21075439453125,90.08462363505397,0.01689478252456023,105.6098480090465,575.927273
2024-11-25 15:25:37,53,0.03,16,0.2,64,16,0.005,QuantileLoss,25,204.45286560058594,90.16872354312116,0.017012191564188726,104.04014367051207,571.324251
2024-11-25 15:34:55,54,0.05,16,0.1,128,4,0.03,QuantileLoss,25,151.78872680664062,104.1005149413961,0.019537358106474806,118.11623083945427,555.114847
2024-11-25 15:43:05,55,0.01,16,0.1,16,16,0.005,QuantileLoss,25,162.06707763671875,149.51078380137403,0.028150828554158732,172.31861545150488,487.868061
2024-11-25 15:52:25,57,0.05,32,0.1,16,8,0.01,QuantileLoss,25,109.2833480834961,91.42448761093902,0.017197981809778558,103.68956105565486,558.40204
2024-11-25 16:02:31,58,0.03,16,0.1,128,16,0.005,QuantileLoss,25,117.5805892944336,92.02240599700035,0.017376513187106712,103.9371781758283,602.743211
2024-11-25 16:11:56,59,0.05,32,0.1,16,8,0.005,QuantileLoss,25,146.9052734375,95.61862155905084,0.017975392949770956,108.46356591904893,563.187755
2024-11-25 16:21:26,61,0.01,8,0.1,16,8,0.005,QuantileLoss,25,33.51560974121094,50.286994607370865,0.009532096150324618,65.05430308733065,567.546739
2024-11-25 16:30:47,62,0.05,16,0.3,64,4,0.01,QuantileLoss,25,118.32792663574219,111.29194790166832,0.02087813307961685,128.01536545607678,558.482103
2024-11-25 16:40:36,63,0.03,16,0.3,128,16,0.01,QuantileLoss,25,85.70482635498047,76.38307624824617,0.014578178569169691,96.18225514957581,586.965543
