Fecha,ID,Gradient Clip Val,Hidden Size,Dropout,Hidden Continuous Size,Attention Head Size,Learning Rate,Loss Function,Epochs,Val Loss,Test MAE,Test MAPE,Test RMSE,Training Time (s)
2024-11-28 19:44:42,1,0.01,8,0.1,16,16,0.03,QuantileLoss,35,27.107528686523438,75.46407498557869,0.014196768237154305,90.78379800901031,1212.884485
2024-11-28 20:00:38,2,0.01,16,0.2,16,4,0.01,QuantileLoss,35,119.00560760498047,104.14816360758145,0.019593241655916395,118.21286385455265,952.828486
2024-11-29 00:06:41,3,0.01,16,0.3,16,4,0.01,QuantileLoss,35,82.50296783447266,80.38142700438138,0.015183548256416662,94.93892068709367,14761.009463
